Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,13.71,13.75,13.5,13.58,125739600,0.879709
2003-04-15,13.59,13.6,13.3,13.39,75992000,0.867401
2003-04-16,12.99,13.67,12.92,13.24,254044000,0.857684
2003-04-17,13.2,13.25,12.72,13.12,154064400,0.849911
2003-04-21,13.13,13.19,12.98,13.14,38080000,0.851206
2017-04-06,144.289993,144.520004,143.449997,143.660004,21118000,143.660004
2017-04-07,143.729996,144.179993,143.270004,143.339996,16621300,143.339996
2017-04-10,143.600006,143.880005,142.899994,143.169998,18473000,143.169998
2017-04-11,142.940002,143.350006,140.059998,141.630005,30275300,141.630005
2017-04-12,141.600006,142.149994,141.009995,141.800003,20238900,141.800003
