Date,Open,High,Low,Close,Volume,Adj Close
1995-12-22,75.250082,76.750016,74.374918,76.624918,80848800,3.769464
1995-12-26,76.624918,78.499984,75.124984,77.374984,58204800,3.806363
1995-12-27,77.374984,78.249959,76.375082,76.750016,66178800,3.775618
1995-12-28,75.749943,76.125057,74.874959,75.375,69967600,3.707976
1995-12-29,75.250082,75.749943,74.374918,74.624943,65304000,3.671078
2015-12-15,26.719999,27.110001,26.610001,26.85,29911700,26.85
2015-12-16,27.0,27.290001,26.68,27.24,22617600,27.24
2015-12-17,27.290001,27.309999,26.700001,26.719999,24768500,26.719999
2015-12-18,26.6,26.82,26.26,26.27,36352200,26.27
2015-12-21,26.58,26.65,26.41,26.639999,18194100,26.639999
