Date,Open,High,Low,Close,Volume,Adj Close
2012-05-18,42.049999,45.0,38.0,38.23,573576400,38.23
2012-05-21,36.529999,36.66,33.0,34.029999,168192700,34.029999
2012-05-22,32.610001,33.59,30.940001,31.0,101786600,31.0
2012-05-23,31.370001,32.5,31.360001,32.0,73600000,32.0
2012-05-24,32.950001,33.209999,31.77,33.029999,50237200,33.029999
2017-04-06,142.110001,142.220001,140.910004,141.169998,15036900,141.169998
2017-04-07,141.199997,141.550003,140.240005,140.779999,11804700,140.779999
2017-04-10,141.0,141.429993,140.630005,141.039993,8844800,141.039993
2017-04-11,140.800003,141.029999,138.809998,139.919998,15597600,139.919998
2017-04-12,139.720001,140.399994,139.440002,139.580002,11580100,139.580002
