Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,24.27,24.879999,24.0,24.76,51599600,16.764518
2003-04-15,24.68,24.790001,24.1,24.6,63399000,16.656185
2003-04-16,25.6,25.74,24.6,24.92,86178700,16.872851
2003-04-17,24.77,25.540001,24.74,25.5,58356600,17.265558
2003-04-21,25.610001,25.610001,25.08,25.209999,41557800,17.069204
2017-04-06,65.599998,66.059998,65.480003,65.730003,18070500,65.730003
2017-04-07,65.849998,65.959999,65.440002,65.68,13772400,65.68
2017-04-10,65.610001,65.82,65.360001,65.529999,17363400,65.529999
2017-04-11,65.599998,65.610001,64.849998,65.480003,18735700,65.480003
2017-04-12,65.419998,65.510002,65.110001,65.230003,17082100,65.230003
