Date,Open,High,Low,Close,Volume,Adj Close
1995-12-22,27.25,27.25,27.25,27.25,5200,6.8125
1995-12-26,27.0,27.0,26.75,26.75,24000,6.6875
1995-12-27,26.75,26.875,26.75,26.875,6400,6.71875
1995-12-28,26.625,27.0,26.625,27.0,216800,6.75
1995-12-29,27.0,27.0,26.75,27.0,122800,6.75
2015-12-15,35.400002,35.860001,34.740002,35.049999,2815300,35.049999
2015-12-16,35.209999,35.439999,33.830002,34.439999,3304100,34.439999
2015-12-17,34.369999,34.75,32.330002,32.610001,4466500,32.610001
2015-12-18,32.540001,32.759998,31.6,31.6,4118100,31.6
2015-12-21,31.49,31.75,29.940001,30.41,5209100,30.41
